Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7uF,C23733
"C2, C8",0402,2,0.1uF,C1525
"C3, C4",0402,2,1uF,C52923
C5,0402,1,100 nF,C1525
"C6, C7",0402,2,22pF,C1555
"D1, D2, D3",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,C383211
J1,PinHeader_1x06_P2.54mm_Vertical,1,Screw_Terminal_01x06,
"J2, J3",PinHeader_1x15_P2.54mm_Vertical,2,Screw_Terminal_01x15,
R1,0402,1,10k,C25744
"R2, R3",0402,2,1K,C11702
SW1,SW_SPST_PTS810,1,PTS810,C116501
U2,DIP-28_W7.62mm,1,ATmega328P-P,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,C13738
